Vendor,Expense Type,Expense Descrption,Date,Item Name,Item Description,Quantity,Cost,Total Cost,Recurring,Interval,
Amazon Prime,Other Expenses,Shipping,1/2/2020,Vice,Cast Iron Drill Press Vise,1,8.99,8.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,1/2/2020,Vice,Cast Iron Drill Press Vise,1,1.93,1.93,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,1/22/2020,Vacumm,Bucket head Wet Dry Vac,1,26.47,26.47,TRUE,Monthly,
Home Depot,Other Expenses,Machine Shop Supplies,1/22/2020,Gloves,Full Grain Pigskin Glove Large,1,11.98,11.98,TRUE,Monthly,
Home Depot,Other Expenses,Machine Shop Supplies,1/22/2020,Drill Bits,16-Jan,2,2.27,4.54,TRUE,Monthly,
Home Depot,Other Expenses,Machine Shop Supplies,1/22/2020,Drill Bits,May-64,2,1.18,2.36,TRUE,Monthly,
Home Depot,Other Expenses,Taxes,1/22/2020,Drill Bits,May-64,1,3.37,3.37,TRUE,Monthly,
Amazon Prime,Other Expenses,Office Supplies,10/31/2019,Office Desk Chair,Leather-Padded Armrest - Black,1,52.3,52.3,TRUE,Monthly,
KROSS HARDWARE,Other Expenses,Test Fixtures,1/26/2020,Screws,Specialized Screws,1,12.17,12.17,TRUE,Monthly,
Amazon Prime,Other Expenses,Taxes,10/31/2019,Product Taxes,Office Supplies Purchase,1,4.51,4.51,TRUE,Monthly,
Amazon Prime,Other Expenses,Office Supplies,11/3/2019,Stool,Boss Office Be Well Medical Spa Black,1,89.29,89.29,TRUE,Monthly,
Amazon Prime,Other Expenses,Taxes,11/2/2019,Product Taxes,Office Supplies Purchase,1,7.7,7.7,TRUE,Monthly,
Amazon Prime,Other Expenses,Office Supplies,10/30/2019,HDTV 3x HDMI,Sceptre 32 inch LED,1,99.99,99.99,FALSE,,
Amazon Prime,Other Expenses,Taxes,10/30/2019,Product Taxes,Electronic Purchase,1,8.62,8.62,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/2/2019,Product Taxes,Office Supplies Purchase,1,8.62,8.62,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/1/2019,Product Taxes,Electronics Purchase,1,2.59,2.59,FALSE,,
Amazon Prime,Other Expenses,Taxes,11/1/2019,Product Taxes,Electronics Purchase,1,2.59,2.59,FALSE,,
Amazon Prime,Other Expenses,Electronics,11/1/2019,HDMI 2.0 Splitter USB,Firmware Upgrade 1 in 2 Out 18Gbps HDCP2.2,1,29.99,29.99,FALSE,,
N/A,Salarys,Contractor,11/26/2020,OH,Data Entry,2,11,22,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,1/27/2020,Sander,Belt/Disc Sander,1,149,149,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,1/27/2020,Sander,Sanding Belt,1,6.97,6.97,FALSE,,
Home Depot,Other Expenses,Machine Shop Supplies,1/27/2020,Screws,16-Jan,1,2.27,2.27,FALSE,,
Home Depot,Other Expenses,Taxes,1/27/2020,Sales Tax,Machine Shop Suplies,1,13.65,13.65,FALSE,,
Amazon Prime,Other Expenses,Test Fixtures,1/28/2019,Wire,30 AWG Flexible Silicone,1,12.99,12.99,FALSE,,
